Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,sample assignment,final time date,error  *,offset corr sample,dilution ,ppm,diff.abs.,Average,Standard- deviation,,,
Attention! Please note that values with Amplitude low can have a higher error bar.,,,,,,,,,,d13C,,,,,,,,
13500,4351,5159,6221,HEW22-1_Pre_moist,200,6538,Sample,5/9/19 14:04,,-25.77,1.00,6061,,,,,,
13501,4298,5095,6184,HEW22-1_Pre_moist,200,6538,Sample,5/9/19 14:14,,-26.03,1.00,5933,0.25,-25.90,0.18,,,
13502,3624,4277,5293,HEW22-2_Pre_moist,200,6728,Sample,5/9/19 14:24,,-24.43,1.00,5619,,,,,,
13503,4280,5156,6378,HEW22-2_Pre_moist,200,6728,Sample,5/9/19 14:34,,-26.32,1.00,5731,1.89,-25.38,1.33,,,
13505,2873,3381,4170,HEW41-1_Pre_moist,200,4304,Sample,5/9/19 14:57,,-27.32,1.00,3901,,,,,,
13506,2562,2999,4148,HEW41-1_Pre_moist,200,4304,Sample,5/9/19 15:07,,-37.07,1.00,3498,9.74,-32.19,6.89,,,
13507,2769,3273,3959,HEW41-2_Pre_moist,200,3994,Sample,5/9/19 15:16,,-9.21,1.00,3912,,,,,,
13508,2332,2766,3335,HEW41-2_Pre_moist,200,3994,Sample,5/9/19 15:27,,-25.97,1.00,3664,16.76,-17.59,11.85,,,
13511,1339,1581,1914,HEW42-1_Pre_moist,200,2045,Sample,5/9/19 15:56,,-25.78,1.00,1874,,,,,,
13512,1335,1575,1910,HEW42-1_Pre_moist,200,2045,Sample,5/9/19 16:06,,-25.77,1.00,1859,0.01,-25.78,0.01,,,
13513,1493,1760,2137,HEW42-2_Pre_moist,200,2152,Sample,5/9/19 16:16,,-26.93,1.00,2093,,,,,,
13514,1235,1457,1768,HEW42-2_Pre_moist,200,2152,Sample,5/9/19 16:26,,-26.79,1.00,1958,0.14,-26.86,0.10,,,
13516,5737,6824,8219,HEG10-1_Pre_moist,200,8639,Sample,5/9/19 16:45,,-27.88,1.00,7734,,,,,,
13517,5499,6508,7871,HEG10-1_Pre_moist,200,8639,Sample,5/9/19 16:55,,-27.81,1.00,7622,0.07,-27.85,0.05,,,
13518,5576,6613,7984,HEG10-2_Pre_moist,200,8554,Sample,5/9/19 17:04,,-27.97,1.00,7640,,,,,,
13519,5476,6490,7861,HEG10-2_Pre_moist,200,8554,Sample,5/9/19 17:14,,-27.95,1.00,7527,0.02,-27.96,0.01,,,
13522,5656,6729,8106,HEG32-1_Pre_moist,200,8250,Sample,5/9/19 17:44,,-28.19,1.00,7609,,,,,,
13523,5456,6489,7870,HEG32-1_Pre_moist,200,8250,Sample,5/9/19 17:54,,-28.77,1.00,7422,0.58,-28.48,0.41,,,
13524,5541,6538,8001,HEG32-2_Pre_moist,200,7896,Sample,5/9/19 18:03,,-28.33,1.00,7593,,,,,,
13525,5113,6025,7880,HEG32-2_Pre_moist,200,7896,Sample,5/9/19 18:13,,-30.77,1.00,6832,2.44,-29.55,1.72,,,
13527,5939,7129,8562,HEG48-1_Pre_moist,200,9091,Sample,5/9/19 18:33,,-27.99,1.00,7965,,,,,,
13528,5794,6927,8522,HEG48-1_Pre_moist,200,9091,Sample,5/9/19 18:43,,-30.68,1.00,7708,2.69,-29.33,1.90,,,
13529,5565,6604,8166,HEG48-2_Pre_moist,200,8684,Sample,5/9/19 18:52,,-28.03,1.00,7582,,,,,,
13530,5466,6504,8043,HEG48-2_Pre_moist,200,8684,Sample,5/9/19 19:02,,-27.96,1.00,7510,0.06,-27.99,0.04,,,
13533,2052,2402,2852,STD_2992_1,200,2992,Sample,5/9/19 19:33,,-38.67,1.00,2901,,,,,,
13534,2157,2522,2998,STD_2992_1,200,2992,Sample,5/9/19 19:42,,-38.54,1.00,2884,0.12,-38.60,0.09,,,
13535,2164,2525,3005,STD_2992_2,200,2992,Sample,5/9/19 19:52,,-38.70,1.00,2967,,,,,,
13536,2128,2482,2952,STD_2992_2,200,2992,Sample,5/9/19 20:01,,-38.55,1.00,2930,0.16,-38.62,0.11,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
